year,Rainfall,Avg_Water
2004,1109.85,96.60232923497266
2005,2276.875,730.069575342466
2006,1295.25,1608.0438356164384
2007,1496.85,1538.2712328767122
2008,1635.5,1762.51912568306
2009,1223.7125,1506.6280890410958
2010,1533.2749999999999,1524.8678082191782
2011,1516.6999999999996,1991.0465753424658
2012,941.65,1353.1618852459017
2013,1091.2375000000002,737.5191780821917
2014,1079.5,688.3815068493151
2015,2232.175,666.9866438356164
2016,961.45,1139.4139344262296
2017,1453.6,355.80342465753426
2018,841.75,699.3431506849315
2019,10.25,169.38392857142858
